"","FID","admin_region","admin_district","municipality","year","month","hour","day_week","category","kind_accident","type_accident","accident_car","accident_passenger","accident_motor","accident_goodsroad","accident_other","LINREFX","LINREFY","XGCSWGS84","YGCSWGS84","road_surface_condition","day"
"1",6188,6,2,603,2016,4,15,2,3,5,2,1,0,0,0,0,582353.3944,5926138.4683,10.24090338,53.477779904,NA,25
"2",6572,4,2,405,2016,2,15,4,3,5,2,1,0,0,0,0,565114.366,5939258.0107,9.983922804,53.598103684,NA,10
"3",6589,4,8,418,2016,3,14,6,3,6,7,0,1,0,0,0,567467.7475,5937257.7599,10.01904534,53.579829556,NA,18
"4",6606,3,6,318,2016,3,13,7,3,5,2,1,0,0,0,0,562842.4179,5941421.185,9.950033651,53.617822047,NA,5
"5",6695,2,9,221,2016,1,8,6,3,3,2,1,0,0,0,0,555294.0173,5936479.4044,9.835057025,53.574258757,NA,15
"6",6713,2,9,221,2016,3,7,5,3,6,7,0,1,0,0,0,556646.8428,5936244.3996,9.855442455,53.572002299,NA,17
"7",6760,6,1,601,2016,2,7,5,3,5,3,1,0,0,0,0,579723.5388,5927621.036,10.201662876,53.491508155,NA,18
"8",6873,6,2,603,2016,3,15,3,3,5,3,1,0,0,0,0,580837.84,5927155.465,10.218334535,53.487154217,NA,8
"9",6926,1,4,111,2016,3,15,7,3,5,3,1,0,0,0,0,563892.1953,5934516.9835,9.964487554,53.555645156,NA,26
"10",6947,3,1,306,2016,4,16,3,3,5,2,1,0,0,0,0,563298.6708,5936155.3657,9.955861281,53.570441733,NA,5
"11",7056,4,6,415,2016,3,18,6,2,5,3,1,0,0,0,0,568258.2326,5935880.0421,10.030681686,53.567345581,NA,25
"12",7138,3,1,306,2016,1,14,6,3,5,7,0,0,0,0,1,563487.7525,5936513.3346,9.958788908,53.573636062,NA,15
"13",7233,3,6,318,2016,3,8,3,3,5,3,1,0,0,0,0,563039.8701,5940895.4771,9.952911819,53.613073649,NA,15
"14",7541,4,7,417,2016,2,10,4,3,5,3,1,0,0,0,0,568445.5739,5935626.9136,10.033454524,53.565046285,NA,24
"15",7567,7,9,710,2016,3,7,3,3,5,3,1,0,0,0,0,564201.057,5922755.6405,9.966741237,53.449903769,NA,8
"16",7578,2,13,226,2016,1,20,5,3,5,2,1,0,0,0,0,553618.7626,5936885.1338,9.809829627,53.578079221,NA,28
"17",7715,4,4,407,2016,1,8,6,3,5,3,1,0,0,0,0,565501.7236,5940129.9212,9.989958306,53.605891431,NA,15
"18",7772,2,5,215,2016,3,8,5,3,4,6,0,0,0,0,0,561398.806,5935371.445,9.927021883,53.563622104,NA,31
"19",7777,3,4,316,2016,2,12,5,3,3,2,1,0,0,0,0,563848.1877,5937274.0279,9.964386918,53.580428883,NA,4
"20",7952,2,6,218,2016,3,16,4,3,5,3,1,0,0,0,0,559192.7871,5935654.6176,9.893772783,53.566420574,NA,30
"21",8042,4,6,415,2016,2,19,1,3,3,6,1,0,0,0,0,568318.9656,5935798.5984,10.031580763,53.566605734,NA,14
"22",8058,4,5,412,2016,3,14,2,3,5,2,1,0,0,0,0,567472.85,5937631.07,10.019203102,53.583183884,NA,21
"23",8115,2,3,209,2016,3,13,6,3,6,7,0,1,0,0,0,562520.4685,5935940.8501,9.944068616,53.568607118,NA,18
"24",8250,3,1,307,2016,2,15,6,3,5,3,1,0,0,0,0,563218.2549,5936186.5128,9.954653426,53.570731358,NA,26
"25",8302,7,14,715,2016,4,16,2,2,4,1,1,0,0,0,0,555327.889,5925065.4974,9.833552131,53.471670611,NA,11
"26",8335,4,2,403,2016,3,18,1,3,0,1,0,0,0,0,0,565119.959,5938891.3375,9.983930728,53.594807624,NA,20
"27",8375,1,6,117,2016,2,8,3,3,0,7,1,1,0,0,0,568027.4978,5933953.2032,10.026778848,53.550058779,NA,9
"28",8393,4,2,403,2016,1,17,7,3,5,2,1,0,0,0,0,565123.8807,5938632.7678,9.983935979,53.592483319,NA,2
"29",8394,1,6,117,2016,3,15,3,3,3,2,0,0,0,0,1,568057.7555,5933097.1954,10.027049193,53.542361782,NA,1
"30",8404,7,14,715,2016,7,15,2,3,5,2,1,0,0,0,0,556419.4742,5925191.2166,9.850018212,53.472684708,NA,25
"31",8406,2,9,221,2016,5,17,2,3,4,2,1,0,0,0,0,556406.2582,5936282.2712,9.851816592,53.572368594,NA,16
"32",8407,3,5,317,2016,6,13,2,3,3,2,1,0,0,0,0,563958.538,5938920.9939,9.966391076,53.595217148,NA,13
"33",8424,1,4,111,2016,9,10,6,3,5,3,1,0,0,0,0,564245.5368,5933989.2379,9.969712147,53.550859022,NA,9
"34",8433,4,5,409,2016,8,16,2,3,5,3,0,0,1,0,0,566233.518,5938712.3969,10.00071526,53.59305994,NA,29
"35",8436,1,6,117,2016,9,5,3,3,3,2,1,0,0,0,0,568142.3641,5933707.1114,10.02845866,53.54783222,NA,6
"36",8440,1,7,120,2016,7,8,2,3,3,6,1,0,0,1,0,568002.2211,5934495.1363,10.026515275,53.554932487,NA,18
"37",8446,2,5,215,2016,6,10,6,3,5,3,1,0,0,0,0,561355.3502,5935375.2646,9.926366616,53.563661515,NA,17
"38",8453,4,5,410,2016,10,14,3,3,6,6,0,1,0,0,0,567244.0138,5938244.6632,10.015879282,53.588727717,NA,4
"39",8481,1,1,102,2016,9,9,5,3,6,3,0,1,0,0,0,565687.1588,5933604.469,9.991387401,53.547222625,NA,8
"40",8482,3,5,317,2016,9,22,3,3,0,7,0,1,0,0,0,563738.595,5939516.324,9.963190034,53.600594321,NA,6
"41",8486,3,7,319,2016,8,16,2,3,5,3,1,0,0,0,0,560238.0589,5943542.0669,9.911077778,53.637189145,NA,29
"42",8494,4,5,412,2016,11,0,7,3,0,7,0,1,0,0,0,567353.2345,5938017.1034,10.017479905,53.586668591,NA,5
"43",8502,3,4,316,2016,5,8,6,3,3,2,0,0,0,0,0,564177.143,5937706.8976,9.969443819,53.584279045,NA,27
"44",8505,3,1,306,2016,5,8,6,3,4,6,0,0,0,0,0,563016.1495,5936317.0881,9.951628262,53.571929194,NA,20
"45",8508,2,3,209,2016,7,18,6,3,3,2,1,0,0,0,0,562621.2045,5935315.4311,9.945464147,53.562974247,NA,29
"46",8523,3,7,319,2016,10,11,1,3,5,3,1,0,0,0,0,559958.4358,5944865.5401,9.907104375,53.649115741,NA,16
"47",8524,1,3,106,2016,9,15,3,3,4,6,0,0,0,0,0,564546.2533,5933852.2247,9.974222112,53.549590761,NA,6
"48",8525,1,4,110,2016,9,23,7,3,1,5,1,0,0,0,0,563610.8686,5934989.1476,9.96033753,53.559922812,NA,3
"49",8532,4,4,407,2016,7,8,5,3,5,2,0,0,0,0,1,565619.9964,5940295.6556,9.991780424,53.607366115,NA,7
"50",8533,7,14,715,2016,7,19,4,3,6,7,0,1,0,0,0,555715.6003,5925132.2315,9.839404414,53.472229518,NA,20
"51",8536,2,9,221,2016,5,16,5,3,5,2,1,0,0,0,0,556047.7438,5936334.063,9.84641245,53.572872501,NA,19
"52",8543,3,5,317,2016,6,16,7,3,5,3,1,0,0,0,0,563774.5341,5939450.9198,9.963719666,53.600002145,NA,25
"53",8555,2,5,215,2016,11,17,3,3,3,2,1,0,0,0,0,561329.6747,5935377.3432,9.925979421,53.563683197,NA,15
"54",8556,7,1,702,2016,6,8,5,3,5,3,1,0,0,0,0,565340.5091,5924223.9002,9.984201482,53.462959568,NA,16
"55",8569,2,12,225,2016,9,7,2,3,2,6,0,0,0,0,0,553875.6208,5936848.4702,9.813702322,53.577723381,NA,26
"56",8570,3,9,321,2016,9,7,2,3,5,2,1,0,0,0,0,562072.4976,5936880.415,9.937491959,53.577104511,NA,26
"57",8571,1,4,111,2016,5,19,4,3,4,7,0,0,0,0,0,563850.8277,5934762.3977,9.963913319,53.557855804,NA,11
"58",8577,4,7,417,2016,8,13,5,3,5,2,1,0,0,0,0,568392.582,5935698.8,10.032670284,53.565699245,NA,18
"59",8579,3,1,307,2016,8,17,6,3,4,6,0,0,0,0,0,563135.491,5936235.0421,9.953413617,53.571177472,NA,26
"60",8580,3,1,304,2016,10,19,7,3,5,3,1,0,0,0,0,562505.5583,5936162.5198,9.943887867,53.570601117,NA,29
"61",8583,1,3,106,2016,5,9,4,3,3,6,1,0,1,0,0,564296.0979,5933951.3592,9.970467399,53.550512405,NA,18
"62",8595,3,4,316,2016,7,9,5,3,6,6,0,1,0,0,0,563959.1101,5937418.0278,9.96609158,53.581709533,NA,7
"63",8599,4,4,407,2016,6,9,6,3,5,2,1,0,0,0,0,565294.1394,5939772.3887,9.986746598,53.602704131,NA,17
"64",8613,2,5,216,2016,8,18,3,2,5,2,1,0,0,0,0,559620.8031,5935508.0011,9.900206692,53.565054407,NA,23
"65",8625,7,13,714,2016,10,11,6,2,5,2,1,0,0,0,0,558659.2913,5925155.7835,9.883752454,53.472121477,NA,7
