"admin_region","admin_district","municipality","year","month","hour","day_week","category","kind_accident","type_accident","accident_car","accident_passenger","accident_motor","accident_goodsroad","accident_other","LINREFX","LINREFY","road_surface_condition","day","type_bikelane","direction","surface","width","pressure","rainfall","sunshine_minutes","temperature","humidity","visibility","weather_description","wind_direction","wind_category","traffic"
6,2,603,2016,4,15,2,3,5,2,1,0,0,0,0,582353.3944,5926138.4683,NA,11,1,2,4,3,1016.2,0,20,12.8,61,40000,3,1,3,501
4,2,405,2016,2,15,4,3,5,2,1,0,0,0,0,565114.366,5939258.0107,NA,24,2,1,4,3.5,1012.8,0,43,4.7,70,40000,5,8,3,235
4,8,418,2016,3,14,6,3,6,7,0,1,0,0,0,567467.7475,5937257.7599,NA,18,7,2,6,1.5,1019.3,0,0,5.8,84,30000,3,8,3,258
3,6,318,2016,3,13,7,3,5,2,1,0,0,0,0,562842.4179,5941421.185,NA,5,7,1,4,2.3,996.3,0.1,0,4.1,94,4800,5,3,6,69
2,9,221,2016,1,8,6,3,3,2,1,0,0,0,0,555294.0173,5936479.4044,NA,22,NA,NA,NA,NA,1030.6,0,0,-6.6,93,4500,7,6,2,424
2,9,221,2016,3,7,5,3,6,7,0,1,0,0,0,556646.8428,5936244.3996,NA,3,7,1,4,1.7,998.6,0,0,1.8,89,20000,5,6,5,283
6,1,601,2016,2,7,5,3,5,3,1,0,0,0,0,579723.5388,5927621.036,NA,25,7,2,6,2.25,1009.5,0,0,-0.1,94,16000,9,8,5,257
6,2,603,2016,3,15,3,3,5,3,1,0,0,0,0,580837.84,5927155.465,NA,15,1,1,6,6,1028.9,0,60,8.2,46,30000,2,3,3,277
1,4,111,2016,3,15,7,3,5,3,1,0,0,0,0,563892.1953,5934516.9835,NA,19,7,2,6,1.5,1019.3,0,0,6.9,67,30000,3,8,3,246
3,1,306,2016,4,16,3,3,5,2,1,0,0,0,0,563298.6708,5936155.3657,NA,12,7,2,4,2,1009.7,0,26,13.7,70,24000,3,1,5,527
4,6,415,2016,3,18,6,2,5,3,1,0,0,0,0,568258.2326,5935880.0421,NA,18,7,2,6,1.5,1019.5,0,0,5.7,82,25000,3,8,5,332
3,1,306,2016,1,14,6,3,5,7,0,0,0,0,1,563487.7525,5936513.3346,NA,1,7,2,6,1.6,1025.3,0,23,5.8,89,7000,7,7,6,214
3,6,318,2016,3,8,3,3,5,3,1,0,0,0,0,563039.8701,5940895.4771,NA,8,7,2,6,1,1012.2,0,60,1.5,90,15000,3,7,2,718
4,7,417,2016,2,10,4,3,5,3,1,0,0,0,0,568445.5739,5935626.9136,NA,3,2,1,4,5.4,1009.1,0,52,5.1,71,30000,3,8,3,197
7,9,710,2016,3,7,3,3,5,3,1,0,0,0,0,564201.057,5922755.6405,NA,1,7,1,4,4,1021.7,0,27,-4.5,98,10000,3,2,6,333
2,13,226,2016,1,20,5,3,5,2,1,0,0,0,0,553618.7626,5936885.1338,NA,14,7,2,6,1.5,1002.9,1.3,0,0.9,95,7000,9,6,5,101
4,4,407,2016,1,8,6,3,5,3,1,0,0,0,0,565501.7236,5940129.9212,NA,15,2,2,4,3,1006.3,0,0,1.2,94,7000,9,1,5,491
2,5,215,2016,3,8,5,3,4,6,0,0,0,0,0,561398.806,5935371.445,NA,31,1,2,4,3,1014.1,0,53,6.2,85,15000,3,8,2,911
3,4,316,2016,2,12,5,3,3,2,1,0,0,0,0,563848.1877,5937274.0279,NA,25,7,2,4,1.7,1009.9,0,8,2.1,85,35000,2,8,5,141
2,6,218,2016,3,16,4,3,5,3,1,0,0,0,0,559192.7871,5935654.6176,NA,16,7,2,4,1,1033.3,0,60,8.9,52,35000,3,1,5,507
4,6,415,2016,2,19,1,3,3,6,1,0,0,0,0,568318.9656,5935798.5984,NA,7,7,2,4,1.4,999.9,0,0,7.8,70,50000,3,7,3,79
4,5,412,2016,3,14,2,3,5,2,1,0,0,0,0,567472.85,5937631.07,NA,7,7,2,6,1.8,1004.2,0,33,5.5,65,20000,3,7,5,195
2,3,209,2016,3,13,6,3,6,7,0,1,0,0,0,562520.4685,5935940.8501,NA,4,7,2,6,1.2,1000.3,0,0,5.1,79,17000,3,1,3,184
3,1,307,2016,2,15,6,3,5,3,1,0,0,0,0,563218.2549,5936186.5128,NA,26,7,2,6,1.5,1011.9,0,1,3.5,87,14000,5,7,2,215
7,14,715,2016,4,16,2,2,4,1,1,0,0,0,0,555327.889,5925065.4974,NA,18,7,2,4,1,1017.2,0,0,10.3,59,40000,3,8,3,486
4,2,403,2016,3,18,1,3,0,1,0,0,0,0,0,565119.959,5938891.3375,NA,20,7,2,6,1.25,1014.3,0,11,6.2,80,40000,3,8,5,243
1,6,117,2016,2,8,3,3,0,7,1,1,0,0,0,568027.4978,5933953.2032,NA,9,7,2,6,2,990.9,0,0,6.1,75,30000,3,7,4,608
4,2,403,2016,1,17,7,3,5,2,1,0,0,0,0,565123.8807,5938632.7678,NA,16,7,2,4,1.15,1017.8,0.1,0,0,97,3000,9,7,6,74
1,6,117,2016,3,15,3,3,3,2,0,0,0,0,1,568057.7555,5933097.1954,NA,1,7,2,6,1.5,1013.4,0,0,3,66,25000,3,5,5,247
7,14,715,2016,7,15,2,3,5,2,1,0,0,0,0,556419.4742,5925191.2166,NA,4,7,2,4,1.2,1019.1,0,56,21.1,50,40000,2,8,5,520
2,9,221,2016,5,17,2,3,4,2,1,0,0,0,0,556406.2582,5936282.2712,NA,30,7,2,6,1.4,1005.6,0,0,22.1,72,35000,3,3,5,666
3,5,317,2016,6,13,2,3,3,2,1,0,0,0,0,563958.538,5938920.9939,NA,6,1,2,4,3,1021.4,0,55,25.6,44,40000,3,1,5,465
1,4,111,2016,9,10,6,3,5,3,1,0,0,0,0,564245.5368,5933989.2379,NA,16,1,2,4,3,1012.4,0,35,19.9,62,35000,3,5,2,356
4,5,409,2016,8,16,2,3,5,3,0,0,1,0,0,566233.518,5938712.3969,NA,22,2,1,4,5,1023.4,0,0,16.7,96,4000,5,7,3,466
1,6,117,2016,9,5,3,3,3,2,1,0,0,0,0,568142.3641,5933707.1114,NA,13,1,2,4,3,1017.5,0,0,19.3,85,15000,3,1,6,80
1,7,120,2016,7,8,2,3,3,6,1,0,0,1,0,568002.2211,5934495.1363,NA,4,7,2,6,1.5,1020.4,0,59,16.6,70,40000,3,7,5,1315
2,5,215,2016,6,10,6,3,5,3,1,0,0,0,0,561355.3502,5935375.2646,NA,3,1,2,4,3,1013.7,0,60,24.1,67,25000,3,1,2,365
4,5,410,2016,10,14,3,3,6,6,0,1,0,0,0,567244.0138,5938244.6632,NA,11,NA,NA,NA,NA,1022.1,0,0,10.1,91,30000,5,1,5,207
1,1,102,2016,9,9,5,3,6,3,0,1,0,0,0,565687.1588,5933604.469,NA,8,7,2,6,1.5,1013.3,0,60,21.5,71,25000,3,6,5,895
3,5,317,2016,9,22,3,3,0,7,0,1,0,0,0,563738.595,5939516.324,NA,13,7,2,6,1,1016.7,0,NA,21.5,68,30000,3,1,5,291
3,7,319,2016,8,16,2,3,5,3,1,0,0,0,0,560238.0589,5943542.0669,NA,22,1,1,4,3,1023.4,0,0,16.7,96,4000,5,7,3,466
4,5,412,2016,11,0,7,3,0,7,0,1,0,0,0,567353.2345,5938017.1034,NA,26,5,2,4,2.05,1024,0,NA,2.1,100,250,8,5,6,45
3,4,316,2016,5,8,6,3,3,2,0,0,0,0,0,564177.143,5937706.8976,NA,6,7,2,4,2,1020.5,0,60,16.9,57,50000,3,6,5,682
3,1,306,2016,5,8,6,3,4,6,0,0,0,0,0,563016.1495,5936317.0881,NA,27,7,2,6,1.5,1018.1,0,0,13.9,95,7000,7,3,2,971
2,3,209,2016,7,18,6,3,3,2,1,0,0,0,0,562621.2045,5935315.4311,NA,15,5,2,4,2.25,1023.1,0,19,16.1,68,40000,2,8,3,522
3,7,319,2016,10,11,1,3,5,3,1,0,0,0,0,559958.4358,5944865.5401,NA,9,1,1,4,6,1024,0,0,8.8,91,15000,5,4,5,91
1,3,106,2016,9,15,3,3,4,6,0,0,0,0,0,564546.2533,5933852.2247,NA,20,NA,NA,NA,NA,1019.8,0,56,18.7,56,50000,3,4,2,470
1,4,110,2016,9,23,7,3,1,5,1,0,0,0,0,563610.8686,5934989.1476,NA,10,1,2,3,3,1014.2,0,NA,19.9,82,25000,3,6,2,156
4,4,407,2016,7,8,5,3,5,2,0,0,0,0,1,565619.9964,5940295.6556,NA,14,7,2,4,1.55,1015.1,0,47,16.2,67,45000,3,4,5,1377
7,14,715,2016,7,19,4,3,6,7,0,1,0,0,0,555715.6003,5925132.2315,NA,27,7,2,4,1,1013.9,0,0,18.9,96,12000,3,8,6,598
2,9,221,2016,5,16,5,3,5,2,1,0,0,0,0,556047.7438,5936334.063,NA,5,7,2,6,1.5,1025.1,0,60,17.7,40,50000,3,1,5,801
3,5,317,2016,6,16,7,3,5,3,1,0,0,0,0,563774.5341,5939450.9198,NA,25,7,2,4,2,1010,0,10,19.5,92,30000,3,2,5,78
2,5,215,2016,11,17,3,3,3,2,1,0,0,0,0,561329.6747,5935377.3432,NA,15,5,2,4,1.8,1018,0,0,10,100,2500,5,8,5,369
7,1,702,2016,6,8,5,3,5,3,1,0,0,0,0,565340.5091,5924223.9002,NA,30,7,2,4,1,1010.5,0,1,18,70,30000,3,7,3,1206
2,12,225,2016,9,7,2,3,2,6,0,0,0,0,0,553875.6208,5936848.4702,NA,26,1,2,4,3,1021.9,0,0,15.2,98,20000,5,8,6,606
3,9,321,2016,9,7,2,3,5,2,1,0,0,0,0,562072.4976,5936880.415,NA,26,7,2,6,1.55,1021.9,0,0,15.2,98,20000,5,8,6,606
1,4,111,2016,5,19,4,3,4,7,0,0,0,0,0,563850.8277,5934762.3977,NA,18,NA,NA,NA,NA,1008.1,0,0,16,57,25000,3,5,2,587
4,7,417,2016,8,13,5,3,5,2,1,0,0,0,0,568392.582,5935698.8,NA,11,2,2,4,7,1019.8,0.4,0,12.1,84,18000,5,7,5,159
3,1,307,2016,8,17,6,3,4,6,0,0,0,0,0,563135.491,5936235.0421,NA,19,7,2,6,1.5,1010,0,60,22.7,47,50000,3,5,2,871
3,1,304,2016,10,19,7,3,5,3,1,0,0,0,0,562505.5583,5936162.5198,NA,22,7,2,6,1.25,1014.6,1.3,0,7.1,99,8000,5,2,6,90
1,3,106,2016,5,9,4,3,3,6,1,0,1,0,0,564296.0979,5933951.3592,NA,25,6,2,4,3,1015.1,0,0,12.3,82,15000,3,8,2,717
3,4,316,2016,7,9,5,3,6,6,0,1,0,0,0,563959.1101,5937418.0278,NA,28,7,2,6,1.5,1015.7,0,32,18.9,68,45000,3,8,2,750
4,4,407,2016,6,9,6,3,5,2,1,0,0,0,0,565294.1394,5939772.3887,NA,17,7,2,4,1.8,1001.6,1.6,0,15.6,93,6000,5,6,6,597
2,5,216,2016,8,18,3,2,5,2,1,0,0,0,0,559620.8031,5935508.0011,NA,16,7,2,4,1.5,1018.2,0,59,19.7,55,45000,3,3,2,1207
7,13,714,2016,10,11,6,2,5,2,1,0,0,0,0,558659.2913,5925155.7835,NA,28,7,1,4,1.5,1026.2,0.5,0,13,98,8000,5,8,5,104
2,3,209,2016,8,18,4,3,5,3,1,0,0,0,0,562346.3094,5935378.5974,NA,10,1,2,4,3,1019.2,0,19,13,75,20000,5,8,3,710
4,6,415,2016,8,16,5,2,5,3,1,0,0,0,0,568042.4629,5936163.2423,NA,4,7,1,4,2.8,1009.1,0,19,20.4,60,40000,3,7,3,596
4,6,414,2016,8,14,4,3,1,5,0,0,0,0,1,567643.4203,5936715.9528,NA,3,7,2,6,1.25,1007,0,0,20.2,92,20000,5,7,3,200
1,8,125,2016,8,14,4,3,5,3,1,0,0,0,0,570602.8547,5933997.6246,NA,10,7,1,6,2,1018.1,0.1,31,12.9,69,40000,5,8,3,227
2,9,221,2016,7,12,4,3,3,2,1,0,0,0,0,556047.2182,5936334.0551,NA,20,7,2,6,1.5,1017.1,0,60,26.5,55,50000,3,6,5,498
2,5,216,2016,11,10,3,2,4,6,0,0,0,0,0,560409.7001,5935565.8192,NA,1,7,2,6,1.6,1017.2,0,0,10.8,92,5000,7,8,5,269
2,6,218,2016,6,9,5,3,3,2,0,0,0,0,1,558083.372,5936040.093,NA,23,7,2,6,1.75,1020.6,0,60,26.1,60,50000,3,6,3,873
2,9,221,2016,10,6,5,3,5,2,1,0,0,0,0,555411.0882,5936440.1285,NA,27,7,2,4,1.1,1027.4,0,0,10.2,99,3500,7,7,2,124
3,5,317,2016,12,16,6,3,5,3,1,0,0,0,0,563617.245,5939999.455,NA,30,7,2,6,1.25,1033.8,0,3,0.5,84,22000,3,7,2,234
2,3,209,2016,10,17,6,3,5,3,1,0,0,0,0,562366.4923,5935375.131,NA,28,7,2,4,2,1029,0,0,10.6,82,25000,3,8,2,451
7,13,714,2016,9,7,4,3,5,3,1,0,0,0,0,558963.154,5925140.6073,NA,21,7,2,6,1.25,1020.6,0,0,13.2,90,21000,3,4,2,725
2,9,221,2016,8,18,2,3,5,3,0,0,0,0,0,556050.1903,5936334.0993,NA,22,7,2,6,1.5,1023.4,1.5,0,16.8,98,4900,5,7,3,547
7,14,715,2016,7,10,2,3,5,2,1,0,0,0,0,556418.9851,5925191.2503,NA,11,7,2,4,1.2,1007.1,0,19,20.6,60,40000,3,7,4,403
4,5,411,2016,9,7,3,3,6,7,0,1,0,0,0,567398.1115,5937900.1337,NA,13,7,2,6,1.6,1017.9,0,60,21.1,78,22000,3,6,2,946
1,4,111,2016,7,9,2,3,4,3,0,0,0,0,0,564059.4159,5934140.4741,NA,11,7,2,6,1.2,1006.6,0,33,20.4,66,40000,3,7,3,819
3,1,304,2016,6,10,2,3,5,3,1,0,0,0,0,562153.3605,5936726.9688,NA,13,7,2,6,1.2,1002.6,0,2,16,83,20000,5,1,5,197
6,1,601,2016,11,7,4,3,5,3,1,0,0,0,0,579768.5528,5927587.5414,NA,2,7,2,6,2.25,1010.8,0.4,0,6,94,45000,5,8,5,402
7,9,710,2016,7,16,4,3,1,5,1,0,0,0,0,563634.9708,5922395.8273,NA,27,1,2,4,3,1014,1.6,0,19.3,92,6000,5,6,5,667
4,4,407,2016,6,23,6,2,5,3,1,0,0,0,0,565340.6812,5939831.9402,NA,24,7,1,4,1.6,1017.4,0.3,NA,18.4,97,5000,5,4,5,122
3,5,317,2016,7,9,3,2,5,3,1,0,0,1,0,564094.8965,5938027.6716,NA,19,1,2,4,3,1022,0,0,19.8,82,25000,3,8,2,858
4,6,414,2016,7,9,2,3,5,3,1,0,0,0,0,567471.1295,5937325.7706,NA,25,2,1,4,6,1017.3,0,20,24.4,73,28000,3,8,6,698
3,1,304,2016,6,17,4,3,5,3,1,0,0,0,0,562799.7741,5936481.4727,NA,1,7,2,6,1.5,1011.5,0,57,23.4,64,40000,3,3,3,1102
4,6,415,2016,6,18,4,3,5,3,1,0,0,0,0,568306.4163,5935815.6215,NA,1,7,2,4,1.4,1011.5,0,53,22.6,68,40000,3,3,3,1120
